MMSI,Vessel Name,Vessel Type,Call Sign,IMO Number,Length,Breadth,Depth,Flag
574002830,AULAC VISION,Tanker,3WVT9,,,,,Vietnam
574003130,TAN BINH 234,Cargo,XVFV9,,,,,Vietnam
574474000,PHUONG DONG 06,79,3WQH,,,,,Vietnam
576847000,SHUN MENG,Fishing,YJSV9,,,,,Vanuatu
577150000,YAPRAKLI,Cargo,YJQJ9,,,,,Vanuatu
601000000,SAS KING SHAKA ZULU,Military,ZTRL,,,,,Unknown
601010820,SANTO DO MAR,Fishing,ZS7494,,,,,Unknown
601087000,SISTRO,Fishing,ZR5245,,,,,Unknown
601366500,USIBA,Pilot Vessel,ZS 2525,,,,,Unknown
601600400,UMKHOMAZI,Pilot Vessel,ZS3199,,,,,Unknown
605086060,CIRTA,Cargo,7THF,,,,,Unknown
613003921,INCI,Cargo,TJMC196,,,,,Unknown
613004300,PHOTON,Tanker,TJMF20,,,,,Unknown
613271404,THRON,Tanker,TJMO22,,,,,Unknown
613426604,SEGINUS,Tanker,TJMR16,,,,,Unknown
613511600,RIMMA,Tanker,TJMW1A,,,,,Unknown
613572604,RIGEL,Tanker,TJM61,,,,,Unknown
613744000,LIDER HALUK,Cargo,TJMC741,,,,,Unknown
620798000,TURBO-SM,99,D6A2809,,,,,Unknown
620800213,SATURN1,,D6A4213,,,,,Unknown
620999966,HAI XIN,Cargo,D6A3966,,,,,Unknown
624021000,JIGJIGA,Cargo,ETJJ,,,,,Unknown
629009356,ATLANTIC WHALE,Fishing,C5J368,,,,,Unknown
630001042,NOR STAR,Tanker,J5AE9,,,,,Unknown
631010090,ROZMARINE,Tanker,3CAN13,,,,,Unknown
631010093,ICE,Pleasure Craft,3CAR,,,,,Unknown
632001149,ETHERA,Tanker,3X2122,,,,,Unknown
636011561,CARLOS FISCHER,Cargo,A8AC4,,,,,Unknown
636012797,YM INITIATIVE,Cargo,A8HX4,,,,,Unknown
636013337,CHEM HELEN,Tanker,A8MG4,,,,,Unknown
636013409,CHEM NICHOLAS,Tanker,A8MS5,,,,,Unknown
636013564,LOXANDRA,Cargo,A8NV2,,,,,Unknown
636013956,EXPEDITION,Passenger,A8QL4,,,,,Unknown
636014655,BALTIC KLIPPER,79,A8VR5,,,,,Unknown
636014675,GAS TRUST,Tanker,A8VV7,,,,,Unknown
636015124,ATHINA L,Cargo,A8YS8,,,,,Unknown
636015506,MSC VEGA,Cargo,D5BE4,,,,,Unknown
636015524,IRENES RESOLVE,Cargo,ELZU6,,,,,Unknown
636015816,SUDETY,Cargo,D5CZ4,,,,,Unknown
636015834,NAVE CETUS,Tanker,D5DB7,,,,,Unknown
636015876,HMM PREMIUM,Cargo,D5DG9,,,,,Unknown
636015880,ALMI ODYSSEY,Tanker,D5DH4,,,,,Unknown
636015943,NAVIGATOR GRACE,Tanker,D5DP9,,,,,Unknown
636016149,CORAL LACERA,Tanker,D5ES2,,,,,Unknown
636016406,FAIR WONDER,Tanker,D5GA4,,,,,Unknown
636016430,MSC JULIA R.,79,A8RK9,,,,,Unknown
636016601,OCEANUS,Cargo,D5GY2,,,,,Unknown
636016731,TAVROPOS,Tanker,D5HM8,,,,,Unknown
636017264,ALKYONIS,Cargo,D5KB7,,,,,Unknown
636017429,KPS ORKA SULTAN,99,D5KX4,,,,,Unknown
636018036,MSC SHANVI III,Cargo,A8UP2,,,,,Unknown
636018069,NAVIOS UNISON,Cargo,D5OA4,,,,,Unknown
636018333,SOUTHERN SHARK,Tanker,D5PG4,,,,,Unknown
636018550,CLYDE,Tanker,D5QF4,,,,,Unknown
636018554,ELARA,Cargo,D5QF8,,,,,Unknown
636018571,MSC EMMA,1,D5QH6,,,,,Unknown
636018704,CONTSHIP ZEN,Cargo,D5QZ5,,,,,Unknown
636018728,FPMC 36,Tanker,D5RC9,,,,,Unknown
636019647,ADMIRAL GALAXY,Cargo,D5VL9,,,,,Unknown
636019673,GSL NICOLETTA,Cargo,D5VP6,,,,,Unknown
636019773,MAROULIO S,Cargo,D5WC2,,,,,Unknown
636019935,AGIOI THEODOROI,79,D5WW4,,,,,Unknown
636020079,BLUE CIMENT 4,Cargo,D5XO3,,,,,Unknown
636020121,HLS AMBER,Tanker,D5XT8,,,,,Unknown
636020221,KMTC SHIMIZU,Cargo,D5YE8,,,,,Unknown
636020226,SEABOARD EXPLORER,Cargo,A8PC7,,,,,Unknown
636020344,THEMIS,Cargo,D5YU4,,,,,Unknown
636020349,MARIANNA I,Cargo,D5YU6,,,,,Unknown
636020454,MSC ERMINIA III,Cargo,A8DM9,,,,,Unknown
636020595,GSL MAREN,Cargo,D5ZX8,,,,,Unknown
636020601,PANOPI,79,D5ZY6,,,,,Unknown
636020735,HELLASSHIP,Cargo,5LAL4,,,,,Unknown
636021017,MSC OLGA F,Cargo,5LBV6,,,,,Unknown
636021032,KITSOS,Tanker,5LBX5,,,,,Unknown
636021059,ECO CROSSFIRE,Cargo,5LCA9,,,,,Unknown
636021197,SYMI,Cargo,5LCT4,,,,,Unknown
636021264,R SKYWALKER,Cargo,5LDB9,,,,,Unknown
636021318,ARCOLA,Cargo,5LDJ5,,,,,Unknown
636021358,DEE4 JUNIPER,Tanker,5LDO5,,,,,Unknown
636021438,MSC AMIHAN F,79,5LDX8,,,,,Unknown
636021583,DEE4 KASTANIA,Tanker,5LER3,,,,,Unknown
636021596,MSC MADISON II,79,5LES8,,,,,Unknown
636021628,KRITI SAILOR,Tanker,5LEX2,,,,,Unknown
636021647,MARINE VICTORY,Cargo,5LEZ6,,,,,Unknown
636021662,XIN HAI TONG 810,Cargo,5LFB7,,,,,Unknown
636021738,TOLMI,,5LFL7,,,,,Unknown
636021896,LILA CONFIDENCE,Tanker,5LGF4,,,,,Unknown
636022113,ZIM VIETNAM,Cargo,5LHG2,,,,,Unknown
636022160,CL EMILY BRONTE,Tanker,5LHL5,,,,,Unknown
636022163,CL MARGUERITE DURAS,Tanker,5LHL8,,,,,Unknown
636022448,MSC MONICA CRISTINA,Cargo,5LIV7,,,,,Unknown
636022686,ANGELIC ANNA,Cargo,5LJZ4,,,,,Unknown
636022749,ROYAL CHEMIST,Tanker,5LKG7,,,,,Unknown
636022771,BBG GUIJIANG,Cargo,5LKJ5,,,,,Unknown
636022775,RIX VOYAGER,Cargo,5LKK2,,,,,Unknown
636022809,AKHISAR,Cargo,5LKO4,,,,,Unknown
636022964,BULK ATACAMA,Cargo,5LLG6,,,,,Unknown
636023139,PRESTIGE D,Cargo,5LMD9,,,,,Unknown
636023527,ANJI PROSPERITY,Cargo,5LOD4,,,,,Unknown
636023661,CORAL SHASTA,Tanker,5LOU3,,,,,Unknown
636023946,MSC TAERIM,Cargo,5LQF2,,,,,Unknown
636023953,PACIFIC AQUAMARINE,Tanker,5LQF9,,,,,Unknown
636023972,HMM EMERALD,Cargo,5LQI5,,,,,Unknown
636023978,CLARA B,Cargo,5LQJ3,,,,,Unknown
636024016,SUPRA PASHA,Cargo,5LQN9,,,,,Unknown
636024073,BRAVE OWL,Cargo,5LQV8,,,,,Unknown
636024232,STAR ROTTERDAM,Cargo,5LRP8,,,,,Unknown
636024355,DP WORLD JEDDAH,Cargo,5LSE7,,,,,Unknown
636024433,VEGA SAGE,Tanker,5LSO7,,,,,Unknown
636024484,SANTA MARTA EXPRESS,Cargo,5LSV4,,,,,Unknown
636024635,CADWELL,Cargo,5LTO2,,,,,Unknown
636024678,EC FATMA,Cargo,5LTU2,,,,,Unknown
636024737,MSC TOGO,Cargo,5LUA7,,,,,Unknown
636024763,STAR CLEO,79,5LUD9,,,,,Unknown
636024823,SEABOARD VERDE,79,5LUL7,,,,,Unknown
636024864,CHAMPION TIDE,Tanker,5LUQ9,,,,,Unknown
636024886,MSC LINZIE,Cargo,5LUT7,,,,,Unknown
636025531,SEABOARD RANGER,Cargo,A8RF7,,,,,Unknown
636025672,NETA A.,Cargo,5LYP4,,,,,Unknown
636025693,XINGHAI,Cargo,5LYR9,,,,,Unknown
636025889,EVDILOS,Cargo,5LZQ3,,,,,Unknown
636091136,JONNI RITSCHER,Cargo,A8JT7,,,,,Unknown
636093049,PANJALI TEYMUROV,Tanker,5LDA6,,,,,Unknown
636093154,NINGBO EXPRESS,Cargo,5LJY5,,,,,Unknown
636093164,AL RIFFA,Cargo,5LKS2,,,,,Unknown
636093274,EDT PROMETHEUS,Other,5LPL4,,,,,Unknown
636093286,SOFIA EXPRESS,Cargo,5LQE3,,,,,Unknown
636093297,SCION MATHILDA,Cargo,5LQQ9,,,,,Unknown
636093333,LIVORNO EXPRESS,Cargo,5LTO5,,,,,Unknown
636093396,KEVIN OLDENDORFF,Cargo,5LYM7,,,,,Unknown
636093408,DARK KNIGHT II,39,A8CO3,,,,,Unknown
645400000,LEON THEVENIN,99,3BSP,,,,,Unknown
645566000,AFFINIS,Cargo,3BTU,,,,,Unknown
659254000,GRAND BANKS,96,V5GS,,,,,Unknown
667001424,MN LEO,Cargo,9LU2227,,,,,Unknown
667001545,KINTEKI MARU,75,9LU2348,,,,,Unknown
667001840,AL FAROUK,Cargo,9LU2643,,,,,Unknown
667002569,ADMIRAL DANIAL,Cargo,9LS2272,,,,,Unknown
667002573,YAMAN,Cargo,9LS2276,,,,,Unknown
668116278,NORTHSTAR INNOVATOR,Towing,S9X2,,,,,Unknown
671123321,STEST,Towing,,,,,,Unknown
671480000,ALFA WATAN,Cargo,5VCS7,,,,,Unknown
672248000,ULYSSE,75,TSMU,,,,,Unknown
672747000,AMILCAR,Cargo,TSNA,,,,,Unknown
677011100,HAI FA,Cargo,5IM211,,,,,Unknown
677013800,HUA WEI 01,Cargo,5IM238,,,,,Unknown
677028200,MARIAM_M,Cargo,5IM382,,,,,Unknown
677064088,TINZA,79,5IM748,,,,,Unknown
677072200,VIVI,Cargo,5IM822,,,,,Unknown
701000021,ARA RIO SANTIAGO,Military,LORT,,,,,Unknown
701006356,CORRIENTES,,LW3423,,,,,Unknown
710001648,JOSE.GUILHERME.VII,,PR7694,,,,,Unknown
770576314,CHINA ZORRILLA,HSC,CXCZ,,,,,Unknown
982570335,BRAGE THAI,Dredger,,,,,,Unknown
992572500,UNITECH ZEFYROS,Other,LF8000,,,,,Unknown
