MMSI,Vessel Name,Vessel Type,Call Sign,IMO Number,Length,Breadth,Depth,Flag
477466300,SITC SHANDONG,Cargo,VRNQ7,,,,,Unknown
477476800,CSCL INDIAN OCEAN,Cargo,VROC2,,,,,Unknown
477539200,FRONT SINGAPORE,Tanker,VRTH3,,,,,Unknown
477655700,OOCL LE HAVRE,Cargo,VRGE3,,,,,Unknown
477691500,OCEAN HAPPY,Cargo,VRFK7,,,,,Unknown
477792100,NEW LEGEND,Cargo,VRIW7,,,,,Unknown
477797100,OCEAN STAR,Cargo,VRCT3,,,,,Unknown
477826500,FAR EASTERN MERCURY,Cargo,VRGZ7,,,,,Unknown
477836100,SHAOLIN,Tanker,VRUU5,,,,,Unknown
477871600,OOCL SPAIN,Cargo,VRVC6,,,,,Unknown
477895300,CL CHANGSHA,Cargo,VRVR4,,,,,Unknown
477922700,GREAT BERYL,Cargo,VRVV6,,,,,Unknown
477995047,LAISSEZ FAIRE 38,Passenger,VRS4421,,,,,Unknown
477995181,LAISSEZ FAIRE 28,Passenger,1234567,,,,,Unknown
477995315,KAM SHUN 338,Other,VRS4684,,,,,Unknown
477995381,FEOSO PIONEER,Tanker,VRMS9,,,,,Unknown
477995431,NORTHERN STAR,Passenger,VRS4788,,,,,Unknown
477996065,FESPD,SAR Vessel,,,,,,Unknown
477996455,LAISSEZ FAIRE 12,Passenger,VRS5701,,,,,Unknown
477996519,HOI LAY NO.3,Tanker,VRS5819,,,,,Unknown
477997122,SEA CLEANER 5,99,,,,,,Unknown
503000196,THE JACKSON,Passenger,T2QW5,,,,,Unknown
503000229,SL LULU,99,VNZ3480,,,,,Unknown
503000231,SL MURJAN,91,VNZ3479,,,,,Unknown
503000239,REEF KEEPER,Tug,VNZ3608,,,,,Unknown
503042000,LEEUWIN 2,Sailing,VNWB,,,,,Unknown
503046960,SIERRA PACIFIC 1290,Tug,VMBE,,,,,Unknown
503090600,BARUNGA,Tug,VNFS,,,,,Unknown
