MMSI,Vessel Name,IMO Number,Call Sign,Vessel Type,Length,Breadth,Depth,Flag
563244800,ONE HARBOUR,IMO9302152,9VAT9,73,336,46,12.2,Singapore
256276000,WILFORCE,IMO9627954,9HA5779,Tanker,290,44,9.7,Malta
636017596,LARGO SEA,IMO9746279,D5LT6,Tanker,183,32,11.3,Unknown
255806337,BENJAMIN CONFIDENCE,IMO9713234,CQEB6,Cargo,180,30,10.1,Portugal
563217900,TABLE BAY,IMO9974979,9V8286,Tanker,183,32,10.8,Singapore
636093031,BSG BAHAMAS,IMO9439498,5LCC6,Cargo,263,32,11.1,Unknown
538005807,MARLIN AQUAMARINE,IMO9721906,V7HE4,Tanker,183,32,8.7,Marshall Islands
538004610,DEEPWATER INVICTUS,IMO9620592,V7XZ7,Other,238,42,11.9,Marshall Islands
563079000,NYK ROMULUS,IMO9416989,9V7644,Cargo,294,32,11.9,Singapore
215534000,AMBERJACK LNG,IMO9845776,9HA5163,84,299,46,11.4,Malta
538002841,GENCO PICARDY,IMO9301720,V7JJ5,Cargo,189,32,8.5,Marshall Islands
256084000,SEA CLOUD,IMO8843446,9HOM2,69,110,15,5.2,Malta
538009246,AIFANOURIOS,IMO9891696,V7A4500,Tanker,249,44,9.1,Marshall Islands
215741000,AVENIR ACCOLADE,IMO9830903,9HA5264,Tanker,124,18,4.9,Malta
636024128,STAR SKY,IMO9399105,5LRC8,Cargo,225,32,7.1,Unknown
636014459,OSLO TRADER,IMO9554676,A8TY9,Cargo,189,32,12.8,Unknown
253805000,BRIGHT FUTURE,IMO9791872,LXGC,Tanker,228,36,8.3,Unknown
636091782,GASCHEM ARCTIC,IMO9371672,A8SV7,Tanker,129,16,5.5,Unknown
538008316,NISSOS RHENIA,IMO9845685,V7A2229,Tanker,333,60,11.0,Marshall Islands
636019198,CHEM ARGON,IMO9716004,D5TK2,Tanker,147,24,7.6,Unknown
255984000,IVER AMBITION,IMO9439163,CRYC,81,109,21,7.0,Portugal
538071074,STEP ONE,IMO1010832,V7MS7,Pleasure Craft,55,9,3.3,Marshall Islands
636021304,RIPLEY PROSPERITY,IMO9464417,5LDH4,79,225,32,14.6,Unknown
636017514,MSC CORNELIA,IMO9426817,A8VA3,74,294,32,12.9,Unknown
636017077,SOPOT,IMO9727522,D5JE6,Cargo,180,30,10.0,Unknown
256566000,CASTILLO DE NAVIA,IMO9722974,9HA3954,Cargo,258,43,13.7,Malta
235092459,STENA ICEMAX,IMO9517575,2FMJ5,Other,228,42,10.6,United Kingdom
249836000,HAFNIA MIKALA,IMO9732709,9HA4395,Tanker,183,32,11.8,Malta
215610000,MSC VIRTUOSA,IMO9803625,9HA5209,Passenger,332,52,8.5,Malta
636021963,NEW ARGOSY,IMO9986829,5LGN9,Tanker,243,44,12.8,Unknown
248392000,MSC SEASIDE,IMO9745366,9HA4638,Passenger,323,44,8.6,Malta
477274700,OOCL NEW YORK,IMO9198109,VRJS2,72,277,40,11.7,Unknown
538010278,CL JIUJIANG,IMO9938781,V7A5838,Cargo,229,32,13.1,Marshall Islands
256609000,LAPEROUSE,IMO9409156,9HA3963,Tanker,154,26,7.2,Malta
229215000,ORHAN,IMO9625451,9HA3155,Cargo,180,30,6.3,Malta
477397800,COSCO HARMONY,IMO9472177,VRJA4,Cargo,367,48,13.1,Unknown
538007348,CS JOLA,IMO9791896,V7KS7,Cargo,180,30,10.3,Marshall Islands
477669100,POYANG,IMO9721580,VRPM2,Cargo,180,30,7.8,Unknown
636014475,NOBLE GLOBETROTTER I,IMO9540845,A8UD3,Other,188,32,15.0,Unknown
477706500,DHT HARRIER,IMO9762986,VRTZ7,Tanker,336,60,20.3,Unknown
538003422,CAPE TALLIN,IMO9441154,V7QQ9,Tanker,228,32,8.6,Marshall Islands
413360000,WU YI HAI,IMO9488217,BQCF,Cargo,190,32,11.8,China
636022175,SEABOARD GENESIS,IMO9951159,5LHN3,79,172,27,8.8,Unknown
441222000,DAE YANG NO 602,IMO7927025,DTBU3,Fishing,42,8,3.1,South Korea
538009014,BASS,IMO9885908,V7A4199,Tanker,229,35,13.9,Marshall Islands
636017052,ORCINUS,IMO9467952,D5JB6,79,179,29,9.1,Unknown
565949000,EAGLE KUANTAN,IMO9417012,9V8376,Tanker,244,42,8.8,Singapore
636022904,HIGH LOYALTY,IMO9681857,5LKZ6,Tanker,183,32,11.7,Unknown
538010892,FRONT BEAVER,IMO9943748,V7A6284,Tanker,328,60,20.0,Marshall Islands
636018377,BULK CONCORD,IMO9516387,A8RG2,Cargo,225,32,10.5,Unknown
220636000,SEAPEAK MAGELLAN,IMO9342487,OWDW2,Tanker,286,43,9.6,Denmark
538009743,MARLIN SHIKOKU,IMO9841627,V7A5107,88,274,48,11.2,Marshall Islands
636021252,MSC BALTIC III,IMO9241475,5LDA4,79,207,30,9.2,Unknown
677087000,HIMALAYA,IMO8410330,5IM970,Cargo,83,12,2.0,Unknown
563191100,CFS HORIZON,IMO9366500,9V8726,Cargo,149,22,6.3,Singapore
636017859,AQUATRAVESIA,IMO9785732,D5NA7,Tanker,244,43,8.5,Unknown
636017076,KARLINO,IMO9727510,D5JE5,Cargo,180,30,7.4,Unknown
636018659,MSC NOA,IMO9398228,D5QT6,74,304,40,11.4,Unknown
258733000,MARI JONE,IMO9725316,LAWB7,Tanker,186,32,11.8,Norway
241662000,GASLOG WARSAW,IMO9816763,SVDE9,Tanker,297,47,10.9,Greece
671082100,BIMINI CAT,IMO8982515,5VGA2,Cargo,36,35,2.0,Unknown
255806138,NORDLOTUS,IMO9624067,CQAC8,Tanker,229,42,11.9,Portugal
236111851,SANCO SWIFT,IMO9630494,ZDKY8,95,97,20,6.6,Gibraltar
209862000,WARNOW WHALE,IMO9395032,5BXD3,Sailing,166,25,8.7,Cyprus
219000034,JS INEOS INGENUITY,IMO9685437,OWHX2,Tanker,180,26,9.1,Denmark
636091731,SEABOARD OCEAN,IMO9383285,A8SB7,74,148,24,7.1,Unknown
730072000,CAPIDAHL,IMO9515058,HKCF7,Tug,30,11,4.0,Unknown
636023851,ATHOS LNG,IMO9972672,5LPS7,Tanker,290,46,11.5,Unknown
538006720,DSI ALTAIR,IMO9749245,V7NM5,Cargo,198,32,12.4,Marshall Islands
477629300,CL SHA HE,IMO9890654,VRTP8,Cargo,199,32,12.0,Unknown
636017692,GLORIA,IMO9313307,A8ZP6,Cargo,225,32,7.1,Unknown
255806169,NORTHERN JAVELIN,IMO9465095,CQAG7,Cargo - Hazmat A,333,43,13.1,Portugal
563105100,CD HUELVA,IMO9874272,9V6478,Cargo,200,32,13.0,Singapore
